otu,Domain,Phylum,Class,Order,Family,Genus,Species
JN206197.1,k__Eukaryota,p__Mucoromycota,c__Opisthokonta,o__Mucorales,f__Mucoraceae,g__Mucor,s__Mucor_odoratus
AF516574.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Polyporus,s__Polyporus_varius
MK356323.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Cucurbitariaceae,g__Synfenestella,s__Synfenestella_sorbi
MK050351.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricostilbales,f__Kondoaceae,g__Kondoa,s__Kondoa_cylindrica
MT734671.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Peronospora,s__Peronospora_elsholtziae
AY642530.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymosphaeriaceae,g__Paraconiothyrium,s__Paraconiothyrium_estuarinum
KX752617.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Phanerochaetaceae,g__Hapalopilus,s__Hapalopilus_ribicola
MK053776.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Stephanosporaceae,g__Cristinia,s__Cristinia_mucida
HG007978.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Strophariaceae,g__Pholiota,s__Pholiota_mixta
MZ637075.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Phanerochaetaceae,g__Rhizochaete,s__Rhizochaete_sulphurina
FJ415477.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Recurvomyces,s__Recurvomyces_mirabilis
MK356375.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Neosetophoma,s__Neosetophoma_lonicerae
LT906659.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Dictyosporiaceae,g__Neodendryphiella,s__Neodendryphiella_tarraconensis
MK894076.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Picipes,s__Picipes_tubaeformis
KT383824.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Didymocyrtis,s__Didymocyrtis_epiphyscia
KP192656.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Lyophyllaceae,g__Lyophyllum,s__Lyophyllum_cf._amariusculum_CH13101419
JX669805.1,k__Eukaryota,p__Ascomycota,c__saccharomyceta,o__Pezizales,f__Sarcosomataceae,g__Plectania,s__Plectania_melastoma
MH859193.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_robusta
KP278161.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__unidentified,g__Leptodophora,s__Leptodophora_orchidicola
MK539965.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Septoriella,s__Septoriella_germanica
